7:302,616,58,8,29,76,650,518,542,138
18:17,518,654,8,302,58,650,616,84,564
19:
36:17,654,616,58,84,29,8,76,650,518
37:302,654,616,58,8,76,29,650,1102,542
41:17,302,654,616,58,76,29,650,542,564
42:17,302,654,58,76,29,650,542,564,354
43:17,302,654,616,76,84,58,8,138,226
44:302,616,84,76,8,518,564,542,354,70
45:347,4858,11751,31315,15580,23970,6901,19829,885,14237
46:302,616,58,8,76,650,1102,542,354,564
59:654,616,58,76,29,650,1102,542,564,354
60:616,58,84,29,8,76,650,518,1102,542
69:302,654,58,76,29,650,564,354,138,736
70:302,654,616,58,84,8,29,76,650,354
94:17,302,654,616,58,84,76,29,650,564
106:84,8,29,518,70,1102,736,15,101,6
115:58,8,29,518,354,138,301,15,289,285
116:17,76,302,654,616,70,226,58,564,8
142:58,8,84,29,1102,301,81,6,61,861
143:17,394,483,3231,302,616,84,564,1196,356
148:17,302,654,616,76,58,8,84,70,564
150:17,302,654,8,650,29,84,564,518,542
156:302,616,58,84,8,29,76,650,1102,542
161:616,84,29,76,650,542,564,70,138,301
171:302,84,8,76,650,518,1102,354,138,301
172:654,58,84,8,76,518,542,1102,354,564
174:873,431,718,931,5103,3897,21141,5116,219,3476
177:17,654,58,616,29,84,8,650,76,542
196:616,76,29,542,354,564,736,15,289,101
202:302,58,8,518,542,1102,354,138,736,301
211:17,8,302,22,1131,616,974,508,76,654
217:302,654,616,58,84,8,29,518,76,1102
220:22713,7478,190,1187,1812,17925,10100,112979,73865,110132
223:302,654,616,58,84,8,76,29,650,518
224:4797,353,17,1951,518,245,8,654,84,616
225:302,654,616,58,84,8,29,76,518,542
228:17,302,654,616,58,76,361,650,29,84
229:58,84,518,1102,736,15,101,508,6,285
231:302,654,616,58,84,8,76,29,518,1102
232:60364,41798,8217,55056,63448,10261,50621,102080,111953,88929
238:17,302,616,654,8,76,245,58,564,518
241:616,58,84,29,76,650,518,1102,542,354
245:81,16786,780,3137,3939,5767,2301,17782,40027,62162
249:17,302,654,616,58,84,8,29,76,518
250:302,654,616,58,84,8,29,518,564,542
253:17,616,302,654,76,58,8,564,650,542
257:17,84,542,1102,70,138,301,15,101,6
272:654,616,58,8,29,1102,76,650,518,354
273:17,302,654,76,650,354,736,70,138,15
288:17,616,58,84,29,76,650,1102,70,354
290:17,302,654,616,84,58,8,138,76,650
291:17,84,518,302,616,654,58,1102,101,650
292:654,616,58,76,542,564,70,138,301,289
294:17,302,8,29,76,1102,542,354,564,15
328:302,654,84,58,616,8,29,1102,354,76
331:17,302,654,616,58,84,8,542,650,518
345:77581,62840,39936,29573,81616,385,2139,55192,1009,826
361:616,58,8,29,76,650,518,354,138,564
376:17,302,58,616,29,84,8,76,1102,650
384:17,302,654,616,8,84,76,29,650,518
401:616,58,29,650,1102,542,354,70,138,301
402:302,654,84,8,518,542,564,1102,354,70
410:17,302,616,654,76,58,8,84,518,70
448:302,654,616,58,84,8,76,29,650,518
449:17,302,616,654,58,8,84,518,650,70
450:302,654,76,84,29,1102,354,138,301,15
452:17,302,654,616,58,29,84,8,76,650
476:17,302,654,616,8,84,518,58,76,245
488:17,302,616,58,76,29,518,1102,542,564
490:17,302,76,29,650,354,70,15,138,301
494:17,654,616,58,8,84,29,518,542,564
500:17,302,616,654,58,76,8,650,84,29
514:17,302,616,654,58,76,8,564,84,650
525:302,654,616,58,84,29,518,650,70,564
535:17,8,29,76,650,518,1102,542,354,564
536:302,654,616,58,84,8,76,29,650,518
538:302,654,616,58,29,76,1102,650,354,564
539:17,654,58,8,84,29,564,518,542,1102
564:84,76,8,650,518,564,1102,736,15,289
582:616,84,29,76,518,1102,354,564,138,70
585:302,654,616,58,84,8,29,76,650,1102
590:654,8,29,76,650,518,354,542,70,736
601:27912,90054,69110,118676,31717,121234,75023,121660,48912,226
618:17,302,654,616,76,58,226,8,650,84
624:7006,1589,11535,1991,3864,3915,7843,3107,17,6552
627:4671,9594,7334,19207,19731,7468,262,361,238,190
628:17,76,58,84,8,518,285,70,138,542
632:17,81,8,616,931,873,302,654,226,76
633:302,654,58,84,8,29,76,650,518,1102
634:17,226,780,986,76,5767,302,3137,58,654
646:17,302,654,76,616,58,358,500,84,29
666:10981,5975,533,8772,3034,911,11590,2543,603,18920
667:17,302,616,654,58,8,76,84,518,29
669:1803,11470,4394,2337,39616,12962,721,760,168,7832
678:17,302,654,58,8,84,29,650,564,518
680:17,654,616,58,29,8,84,650,518,138
681:17,76,616,302,654,8,58,518,542,245
682:17,76,302,616,654,58,8,70,564,650
683:104893,7620,20249,25771,112536,50641,7146,66150,5287,1825
684:168,719,984,5480,1460,463,1326,8860,5738,1528
715:2543,8392,11855,12861,8867,311,17486,19378,3034,8427
716:17,616,302,654,58,542,8,650,861,15
741:17,302,654,616,58,76,84,8,29,518
750:8,76,564,1102,354,138,301,736,15,6
754:17,302,654,616,58,84,76,29,542,1102
756:616,84,8,76,650,1102,542,354,138,301
757:17,302,654,616,58,84,76,564,8,1102
758:17,302,616,654,58,76,8,84,29,542
763:17,84,29,8,650,518,564,542,138,736
773:17,302,654,616,8,84,58,650,101,76
774:17,302,8,76,84,650,518,564,1102,354
775:58,76,518,1102,542,564,354,70,138,736
782:302,654,616,58,84,8,29,76,518,650
784:17,302,76,84,29,650,518,542,354,1102
793:654,616,8,76,29,518,354,564,542,736
803:17,302,654,84,616,70,58,8,138,1119
813:17,302,654,616,84,29,518,650,542,564
815:302,654,58,84,76,8,29,518,354,542
817:616,58,29,8,76,650,1102,518,542,138
818:984,463,1326,5480,8860,2318,5738,2153,760,574
823:17,302,616,654,8,58,76,245,564,518
825:654,616,58,8,29,650,518,70,1102,542
833:302,58,8,84,76,564,70,354,1102,301
835:302,654,616,58,84,518,29,76,650,1102
838:219,725,5287,3476,862,2215,931,287,4697,230
844:58,8,76,29,518,542,354,70,736,301
850:17,866,302,654,354,76,29,84,58,616
856:70,138,301,6,899,327,866,162,226,236
857:302,84,8,76,650,518,1102,542,354,138
874:302,58,76,84,29,518,70,1102,736,301
891:361,17,302,654,254,358,2139,500,238,1832
899:17,302,616,654,58,8,76,84,518,650
900:17,302,654,616,58,29,8,101,15,542
911:302,654,58,616,84,8,29,76,1102,354
918:17,302,654,616,58,84,8,650,29,518
925:17,302,654,616,58,84,564,8,76,518
926:302,58,84,8,76,650,518,542,354,1102
937:302,654,616,58,29,518,76,650,542,354
949:
964:17,302,654,616,58,84,8,518,76,354
970:8,518,84,17,302,616,654,1102,138,1762
977:17,29,650,518,354,736,15,301,285,508
981:1744,710,1002,17,3506,3618,1340,6315,3976,8928
982:17,302,84,1119,654,8,70,616,354,736
984:17,654,616,58,84,8,29,76,650,542
992:17,302,616,654,76,58,508,70,564,8
993:654,616,58,84,29,76,518,1102,354,138
998:17,302,654,616,58,84,76,29,564,650
1000:17,58,8,84,29,518,70,542,1102,354
1007:17,654,29,8,84,518,564,542,1102,354
1027:168,1400,2318,661,1326,760,5738,1528,2153,574
1028:17,302,616,58,29,518,650,76,542,354
1044:17,302,654,84,616,58,8,518,29,650
1045:17,58,84,8,76,650,518,542,1102,354
1049:17,76,564,616,2139,238,358,500,262,654
1068:5287,230,1002,931,2675,1539,14955,1446,431,441
1069:654,84,8,76,29,518,70,564,542,1102
1070:17,616,58,84,518,650,76,542,1102,354
1082:84,650,518,1102,542,70,138,301,101,15
1083:650,17,363,61,2908,302,76,654,58,8
1088:17,302,616,654,8,58,84,564,650,29
1094:616,58,29,70,736,301,508,6,285,899
1116:302,654,616,58,84,8,76,29,650,1102
1121:302,654,84,58,616,8,29,1102,354,76
1125:302,654,616,58,76,29,650,1102,542,564
1127:17,302,616,654,58,8,84,518,76,542
1132:17,302,58,654,8,76,650,542,84,518
1133:76,8,650,518,1102,354,736,301,15,101
1140:616,84,29,8,76,518,542,1102,354,564
1141:17,1382,302,327,70,8,508,787,654,84
1148:17,76,508,302,616,654,8,1023,70,58
1153:17,654,616,58,76,29,518,650,1102,564
1163:9250,6304,5262,42693,7556,7264,17572,1335,36183,12092
1166:17,616,302,654,8,58,518,76,84,542
1172:17,302,616,654,58,76,8,84,518,29
1192:17,302,616,58,8,29,76,518,650,1102
1204:17,302,654,616,58,15,61,542,29,8
1208:17,302,654,58,616,650,29,8,542,84
1209:17,76,616,302,654,8,58,564,518,70
1234:17,302,76,654,616,58,650,8,182,29
1236:17,302,616,654,8,76,58,84,518,542
1245:302,654,616,84,58,8,29,76,518,650
1263:17,302,58,84,8,76,650,518,542,1102
1267:302,654,58,616,84,8,29,76,518,650
1269:4755,2880,81,1712,6434,1352,8848,7831,12990,5624
1288:17,1017,654,518,2200,2609,302,616,15,564
1295:616,76,518,542,564,70,301,736,101,6
1296:17,654,58,29,84,8,76,650,542,518
1302:17,302,654,616,76,8,29,84,650,542
1305:17,302,58,84,29,8,650,76,518,542
1342:17,84,518,302,616,654,58,1102,101,650
1382:17,302,654,616,84,8,58,518,76,564
1389:75115,40853,4245,1305,61636,302,76,616,58,29
1391:17,302,650,32,616,58,402,29,6,61
1397:81,226,140,986,1749,780,2967,1884,2379,5767
1402:302,616,58,84,8,76,650,518,354,1102
1405:92558,24722,4697,96890
1407:17,302,654,58,616,542,29,84,518,61
1408:302,654,616,84,58,518,29,650,1102,354
1409:616,8,564,354,542,70,138,101,15,6
1412:17,302,654,58,616,84,70,354,29,76
1413:542,736,15,101,289,508,6,285,899,861
1418:654,76,650,542,564,138,736,15,289,285
1419:4755,1712,6434,7831,8848,12990,378,4568,5624,17
1420:302,654,616,58,8,29,76,650,518,354
1427:17,8,84,29,518,564,354,1102,736,15
1430:17,302,654,8,76,84,29,650,542,518
1431:654,616,58,84,8,76,650,518,1102,542
1435:302,616,58,84,76,29,564,1102,354,138
1437:17,616,302,654,76,58,650,542,8,564
1441:2983,225,98,11713,82748,36790,4292,53118,17956,23529
1447:17,302,616,654,58,8,76,84,70,518
1448:17,245,8,542,76,650,654,616,508,15
1457:17,654,302,616,58,542,15,8,84,29
1458:302,616,58,84,76,650,70,1102,736,138
1469:302,616,58,84,76,518,1102,542,354,564
1477:17,302,616,654,84,58,518,76,542,736
1486:168,719,984,8860,1326,8783,1400,5480,5738,4146
1490:17,302,654,616,76,58,8,866,84,518
1491:302,654,616,58,84,8,76,650,1102,518
1500:302,58,84,76,29,650,518,70,564,1102
1503:654,616,58,8,76,650,542,354,301,564
1517:41438,26820,46054,350,225,22450,11783,31108,46207,43137
1518:17,302,616,654,8,58,84,518,76,542
1535:302,654,58,84,29,650,542,1102,70,354
1551:616,8,650,518,70,542,354,736,15,508
1552:4194,89980,15294,10906,873,931,14955,12586,4305,5103
1553:17,616,8,302,654,58,84,542,29,76
1559:302,654,616,84,29,8,76,650,518,1102
1560:17,302,58,84,76,29,518,650,564,1102
1561:17,616,58,76,84,29,518,542,70,1102
1562:654,616,8,29,650,518,70,1102,564,542
1569:81,226,2967,780,3423,5767,140,1884,1749,2379
1570:17,654,302,616,84,518,8,58,542,564
1588:17,654,302,616,15,84,29,6,101,518
1589:654,616,58,84,8,76,650,518,1102,354
1591:62108,69776
1601:17,302,654,616,58,8,76,84,650,29
1602:17,302,654,616,58,8,84,76,518,29
1629:17,616,302,654,58,8,76,518,84,650
1634:8337,6901,9043,3112,9095,13782,11887,20836,347,14966
1642:302,654,58,8,76,650,518,1102,542,354
1653:17,302,616,654,58,8,84,76,29,542
1654:302,84,8,29,650,518,70,564,542,1102
1655:654,8,29,76,650,542,354,138,736,70
1668:616,84,29,8,76,650,518,1102,354,564
1681:17,616,58,84,8,29,650,1102,542,564
1703:302,654,616,58,84,29,76,518,650,1102
1721:17,245,302,654,15,61,58,616,542,103
1727:17,302,654,616,58,650,29,8,76,84
1728:302,58,616,84,8,76,650,1102,354,518
1745:17,616,302,654,58,8,518,542,84,76
1746:17,302,654,616,58,8,518,84,542,289
1751:302,654,616,58,84,8,29,76,518,650
1756:302,616,58,29,76,650,354,564,138,301
1758:17,302,616,654,58,76,8,650,84,542
1761:931,1786,230,1825,219,3476,1446,4422,1276,4292
1767:616,58,84,8,76,518,1102,354,542,70
1779:65741,8635,37843,67185,103533,56748,86913,93097,93631,17395
1780:9354,67574,10404,866,68717,14508,29453,1609,120196,85003
1783:17,302,58,29,84,8,76,650,542,518
1787:616,29,76,518,354,564,70,138,736,301
1788:17,302,616,654,58,8,650,84,29,542
1794:17,302,616,654,58,8,84,29,518,76
1796:654,8,84,29,650,542,70,1102,138,301
1803:17,302,654,616,58,84,76,8,29,518
1820:17,302,616,654,8,76,58,84,518,542
1821:17,616,8,302,654,518,58,542,15,84
1822:17,302,654,616,58,8,84,29,518,736
1823:17,84,76,650,542,70,564,354,138,15
1840:616,650,564,542,70,354,736,301,508,61
1841:17,70,76,984,463,1326,5480,5738,1400,8860
1842:17,302,58,616,29,84,8,518,1102,542
1850:17,8,302,654,616,58,84,29,1102,542
1853:17,302,654,616,76,58,8,84,866,542
1854:17,302,654,8,84,76,650,542,70,564
1862:302,616,650,1102,564,542,70,301,736,138
1880:17,302,654,84,616,354,76,138,58,8
1883:654,58,8,76,29,650,518,1102,542,354
1890:302,654,616,58,84,8,29,76,518,1102
1891:302,17,654,58,616,29,84,8,518,15
1893:302,654,616,58,84,76,29,1102,354,70
1894:654,616,58,84,8,29,518,70,564,542
1911:10104,29727,13341,19206,35965,5466,5975,6930,4562,2938
